time [day],activity [decays/day],,,,
27.6,790.6257309,,,,
55.2,738.0047501,,,,
82.8,689.6534099,,,,
110.4,602.299283,,,,
138,517.124771,,,,
165.6,429.0111039,,,,
193.2,377.9989908,,,,
220.8,326.2570015,,,,
248.4,267.4512573,,,,
276,240.346267,,,,
303.6,220.1017772,,,,
331.2,202.1502168,,,,
358.8,152.7935357,,,,
386.4,157.0894215,,,,
414,125.0915628,,,,
441.6,111.0317232,,,,
469.2,97.86118812,,,,
496.8,85.91372328,,,,
524.4,76.10434691,,,,
552,57.87594035,,,,
579.6,51.50040482,,,,
607.2,43.51191567,,,,
634.8,42.40206947,,,,
662.4,36.83510043,,,,
690,34.2057529,,,,
717.6,28.34591889,,,,
745.2,22.23919107,,,,
772.8,18.61736395,,,,
800.4,18.75311063,,,,
828,16.09143807,,,,
855.6,14.57451462,,,,
883.2,12.32163851,,,,
910.8,10.03492805,,,,
938.4,8.99874832,,,,
966,8.034871367,,,,
993.6,6.917312862,,,,
1021.2,6.342010476,,,,
1048.8,4.902307312,,,,
1076.4,4.369869855,,,,
1104,3.64137054,,,,
,,,,,
,,,,,
,,,,,
Data for parts 11 and 14,,,,,
predicted time [day],621,,,,
Alternative measurements,,,,,
t [day],276,,,,
activities [decays/day],282.8446965,271.4036031,210.6095329,229.4049849,272.969837
