time [min],activity [decays/min],,,,
0.62,799.289629,,,,
1.24,768.977022,,,,
1.86,706.2114993,,,,
2.48,546.9258605,,,,
3.1,526.2859353,,,,
3.72,434.2785408,,,,
4.34,411.4441939,,,,
4.96,360.8335697,,,,
5.58,307.301588,,,,
6.2,266.3785761,,,,
6.82,201.7345528,,,,
7.44,188.863811,,,,
8.06,174.5302546,,,,
8.68,145.6376937,,,,
9.3,133.9774086,,,,
9.92,113.7089974,,,,
10.54,90.14604747,,,,
11.16,76.76416007,,,,
11.78,76.50636278,,,,
12.4,61.33545293,,,,
13.02,51.97208543,,,,
13.64,47.3370616,,,,
14.26,41.06192851,,,,
14.88,34.24906451,,,,
15.5,34.00702029,,,,
16.12,28.39012187,,,,
16.74,21.32634883,,,,
17.36,21.42477388,,,,
17.98,16.24854983,,,,
18.6,16.82540752,,,,
19.22,12.93314066,,,,
19.84,12.50859075,,,,
20.46,11.32364972,,,,
21.08,9.653916821,,,,
21.7,7.399104575,,,,
22.32,7.215288647,,,,
22.94,5.836560935,,,,
23.56,5.151826012,,,,
24.18,4.053854436,,,,
24.8,3.772310011,,,,
,,,,,
,,,,,
,,,,,
Data for parts 11 and 14,,,,,
predicted time [min],13.95,,,,
Alternative measurements,,,,,
t [min],6.2,,,,
activities [decays/min],259.7785199,238.4562834,249.9311566,208.2779732,294.0951579
