time [year],activity [decays/year],,,,
6.034,851.5541961,,,,
12.068,822.9824422,,,,
18.102,674.4913072,,,,
24.136,607.3277296,,,,
30.17,481.2408616,,,,
36.204,442.3004956,,,,
42.238,415.0014536,,,,
48.272,323.1396119,,,,
54.306,290.9762715,,,,
60.34,242.1430179,,,,
66.374,205.3722695,,,,
72.408,183.6680006,,,,
78.442,150.701964,,,,
84.476,134.2451686,,,,
90.51,130.4213685,,,,
96.544,103.4823838,,,,
102.578,102.5330688,,,,
108.612,77.64029652,,,,
114.646,78.93955688,,,,
120.68,67.97034887,,,,
126.714,49.47359145,,,,
132.748,47.58894896,,,,
138.782,43.7041077,,,,
144.816,32.85125859,,,,
150.85,32.09387932,,,,
156.884,27.90359095,,,,
162.918,23.59212492,,,,
168.952,18.62865543,,,,
174.986,16.47254554,,,,
181.02,14.89313115,,,,
187.054,13.28344931,,,,
193.088,10.88209796,,,,
199.122,9.395333537,,,,
205.156,8.497836234,,,,
211.19,7.859285711,,,,
217.224,7.002703769,,,,
223.258,5.572531782,,,,
229.292,4.786123255,,,,
235.326,4.670994147,,,,
241.36,4.143669681,,,,
,,,,,
,,,,,
,,,,,
Data for parts 11 and 14,,,,,
predicted time [year],135.765,,,,
Alternative measurements,,,,,
t [year],60.34,,,,
activities [decays/year],202.9092685,297.7659535,209.5945032,281.1936695,211.1147594
