time [sec],activity [decays/sec],,,,
0.246,908.3475159,,,,
0.492,788.1263257,,,,
0.738,668.9006718,,,,
0.984,554.6124143,,,,
1.23,521.6023327,,,,
1.476,392.2851028,,,,
1.722,406.7494851,,,,
1.968,323.1341532,,,,
2.214,282.4183865,,,,
2.46,236.0078351,,,,
2.706,200.7706532,,,,
2.952,199.8517187,,,,
3.198,169.289558,,,,
3.444,148.5259409,,,,
3.69,127.8568286,,,,
3.936,98.33976068,,,,
4.182,87.93068585,,,,
4.428,87.27796212,,,,
4.674,73.97245838,,,,
4.92,66.69058729,,,,
5.166,56.82525099,,,,
5.412,50.73912403,,,,
5.658,39.4075143,,,,
5.904,34.33557193,,,,
6.15,32.61742786,,,,
6.396,25.96560655,,,,
6.642,22.36805436,,,,
6.888,19.64146032,,,,
7.134,16.71665582,,,,
7.38,14.63554653,,,,
7.626,12.49930957,,,,
7.872,12.4940735,,,,
8.118,9.520718439,,,,
8.364,8.135601522,,,,
8.61,7.562147198,,,,
8.856,6.250336563,,,,
9.102,5.376122231,,,,
9.348,4.91574392,,,,
9.594,4.449048126,,,,
9.84,3.892785478,,,,
,,,,,
,,,,,
,,,,,
Data for parts 11 and 14,,,,,
predicted time [sec],5.535,,,,
Alternative measurements,,,,,
t [sec],2.46,,,,
activities [decays/sec],231.8190792,200.0963775,278.586091,261.5503964,258.780147
