time [year],activity [decays/year],,,,
0.412,923.3136739,,,,
0.824,825.4169228,,,,
1.236,675.4874275,,,,
1.648,582.4470804,,,,
2.06,536.9893989,,,,
2.472,427.7710726,,,,
2.884,341.4611566,,,,
3.296,342.2497161,,,,
3.708,262.0482647,,,,
4.12,252.0312329,,,,
4.532,234.7031896,,,,
4.944,177.5940181,,,,
5.356,173.7596826,,,,
5.768,155.3408399,,,,
6.18,130.3020097,,,,
6.592,114.0531583,,,,
7.004,96.89014965,,,,
7.416,88.07579446,,,,
7.828,65.01521993,,,,
8.24,56.67603716,,,,
8.652,53.59420413,,,,
9.064,51.16339667,,,,
9.476,38.55609453,,,,
9.888,36.39814691,,,,
10.3,28.89261842,,,,
10.712,27.90315057,,,,
11.124,24.62157052,,,,
11.536,18.63014026,,,,
11.948,16.67066421,,,,
12.36,14.89807561,,,,
12.772,13.39708555,,,,
13.184,11.7774847,,,,
13.596,11.11039004,,,,
14.008,8.772337567,,,,
14.42,7.122806626,,,,
14.832,6.66349598,,,,
15.244,5.556480373,,,,
15.656,5.043516507,,,,
16.068,4.787847851,,,,
16.48,4.116659761,,,,
,,,,,
,,,,,
,,,,,
Data for parts 11 and 14,,,,,
predicted time [year],9.27,,,,
Alternative measurements,,,,,
t [year],4.12,,,,
activities [decays/year],200.9241059,209.718923,204.7870768,241.7991602,257.1434761
